character_data_0_hp,character_data_1_hp,character_data_0_x,character_data_1_x,character_data_0_y,character_data_1_y,character_data_0_left,character_data_1_left,character_data_0_right,character_data_1_right,character_data_0_top,character_data_1_top,character_data_0_bottom,character_data_1_bottom,character_data_0_action,character_data_1_action,character_data_0_front,character_data_1_front,character_data_0_attack_data_current_hit_area_left,character_data_1_attack_data_current_hit_area_left,character_data_0_attack_data_current_hit_area_right,character_data_1_attack_data_current_hit_area_right,character_data_0_attack_data_current_hit_area_top,character_data_1_attack_data_current_hit_area_top,character_data_0_attack_data_current_hit_area_bottom,character_data_1_attack_data_current_hit_area_bottom,front_0,front_1,character_data_0_speed_x,character_data_1_speed_x,character_data_0_speed_y,character_data_1_speed_y,character_data_0_attack_data_setting_hit_area_left,character_data_1_attack_data_setting_hit_area_left,character_data_0_attack_data_setting_hit_area_right,character_data_1_attack_data_setting_hit_area_right,character_data_0_attack_data_setting_hit_area_top,character_data_1_attack_data_setting_hit_area_top,character_data_0_attack_data_setting_hit_area_bottom,character_data_1_attack_data_setting_hit_area_bottom,character_data_0_attack_data_start_up,character_data_1_attack_data_start_up,character_data_0_attack_data_active,character_data_1_attack_data_active,character_data_0_attack_data_hit_damage,character_data_1_attack_data_hit_damage,character_data_0_attack_data_hit_add_energy,character_data_1_attack_data_hit_add_energy,character_data_0_attack_data_guard_add_energy,character_data_1_attack_data_guard_add_energy,character_data_0_attack_data_give_energy,character_data_1_attack_data_give_energy,character_data_0_attack_data_impact_x,character_data_1_attack_data_impact_x,character_data_0_attack_data_impact_y,character_data_1_attack_data_impact_y,character_data_0_attack_data_give_guard_recov,character_data_1_attack_data_give_guard_recov,character_data_0_attack_data_attack_type,character_data_1_attack_data_attack_type,character_data_0_attack_data_current_frame,character_data_1_attack_data_current_frame,character_data_0_energy,character_data_1_energy,character_data_0_hit_confirm,character_data_1_hit_confirm,character_data_0_hit_count,character_data_1_hit_count,character_data_0_last_hit_frame,character_data_1_last_hit_frame,character_data_0_state,character_data_1_state
400,400,240,720,537,537,220,700,260,740,435,435,640,640,STAND,STAND,True,False,0,0,0,0,0,0,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,0,0,STAND,STAND
400,400,240,720,537,537,220,700,260,740,435,435,640,640,STAND,STAND,True,False,0,0,0,0,0,0,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,0,0,STAND,STAND
400,400,240,720,537,537,220,700,260,740,435,435,640,640,STAND,STAND,True,False,0,0,0,0,0,0,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,0,0,STAND,STAND
400,400,240,720,537,537,220,700,260,740,435,435,640,640,STAND,STAND,True,False,0,0,0,0,0,0,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,0,0,STAND,STAND
400,400,240,720,537,537,220,700,260,740,435,435,640,640,STAND,STAND,True,False,0,0,0,0,0,0,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,0,0,STAND,STAND
400,400,240,720,537,537,220,700,260,740,435,435,640,640,STAND,STAND,True,False,0,0,0,0,0,0,0,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,0,0,STAND,STAND
400,400,260,700,502,502,240,680,280,720,400,400,605,605,STAND_D_DB_BA,STAND_D_DB_BA,True,False,0,0,0,0,0,0,0,0,True,False,10,-10,-16,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,0,0,AIR,AIR
400,400,280,680,471,471,260,660,300,700,369,369,574,574,STAND_D_DB_BA,STAND_D_DB_BA,True,False,0,0,0,0,0,0,0,0,True,False,10,-10,-14,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,0,0,AIR,AIR
400,400,440,520,367,367,420,500,460,540,265,265,470,470,STAND_D_DB_BA,STAND_D_DB_BA,True,False,0,0,0,0,0,0,0,0,True,False,10,-10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,0,0,AIR,AIR
400,400,450,510,381,381,430,490,470,530,279,279,484,484,STAND_D_DB_BA,STAND_D_DB_BA,True,False,0,0,0,0,0,0,0,0,True,False,10,-10,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,0,0,AIR,AIR
